1,ABAKTAL,1029.51,https://apteka.uz/upload/resize_cache/iblock/665/600_600_1/66578ce61ef409c6769c92f0206d643c.png
2,ACIPAN,200.26,https://apotekadamjanovic.files.wordpress.com/2016/04/acipan.jpg
3,ZYLLT,513.19,https://static.framar.bg/thumbs/13/products/zillt.jpg
4,ZYRTEC,163.3,https://apozona.com/wp-content/uploads/2020/11/zyrtec-film-coated-tablets-20x10-mg.jpg
5,AMIOKORDIN,318.02,https://www.krka.biz/media/products/mk/rx/groupthumb/2017/amiokordin-rastvor-za-injiektiranjie-infuzija-150-mg-3-ml.jpg
6,ANALGIN,628.43,https://sopharmashop.com/wp-content/uploads/2021/02/Analgin-tablets.jpg
7,APAURIN,90.47,https://www.krka.biz/media/products/mk/rx/groupthumb/2017/apaurin-oblozhieni-tablieti-2-mg.jpg
8,ARCOXIA,407.93,https://www.costco.com.mx/medias/sys_master/products/h2c/h91/63325769072670.jpg
9,ARTROCOL,242.93,https://www.aversi.ge/uploads/matimg/dda2eaecd63713972e9e620a01eced92.png
10,BAZETHAM,375.59,http://www.centarzdravlja.hr/site/assets/files/23009/bazetham-1.jpg
11,BELOSALIC,310.8,"https://dimedic.eu/picture/2795,346,0,1,21.png"
12,BETAKSIM,1636.85,https://rehberilac.com/wp-content/uploads/2019/05/BETAKSIM-1-GR-1-AMPUL.png
13,BETASALIK,125,https://www.atcolab.com/wp-content/uploads/2018/12/betasalic-ointment.jpg
14,CIPROCINAL,74.37,https://www.lekarinfo.com/wp-content/uploads/2021/07/Ciprocinal-sve-o-ovom-leku-2021.webp
15,CITERAL,295.68,https://lh3.googleusercontent.com/proxy/uMvpp73wtClGM7z1YcyHJ4-lADkviKX6wbXhwOUHIaD04Xz0UXAF2efQc48P64dk6tigqV-7aFPu6minHwJ3lBqmYpoDHYon--68Oj0
16,CLEXANE,198.86,https://5.imimg.com/data5/SELLER/Default/2021/6/BR/ON/PE/28015344/clexane-40-mg-0-4-ml-enoxaparin-injection-500x500.jpg
17,COLNAR - SANOVEL,357.5,https://rehberilac.com/wp-content/uploads/2020/05/COLNAR-10-MG-90-FILM-KAPLI-TABLET.png
18,DOPEZAL,708.75,https://static.framar.bg/product/dopezal-10-mg-alcaloid.jpg
19,YASNAL,755.09,https://www.krka.biz/media/products/mk/rx/groupthumb/2016/Yasnal-kutija-10mg-30-tbl.JPG
20,EFLORAN,142.61,https://ukrstore.com/media/catalog/product/cache/1/image/600x600/9df78eab33525d08d6e5fb8d27136e95/e/f/efloran_10_tablets_400_mg_metronidazolum_.jpg
21,ERYTHROMYCIN,244.61,https://mcareexports.com/wp-content/uploads/2021/04/erythrocin-500mg-tablet.jpeg
22,EROTON,1013.67,https://apteka.puls.bg/data/uploads/products/58ff7e01f94ebf7caeb8824b50ac376a/C_eroton-tbl50mgx1-12151.jpg
23,EMANERA,197.93,https://duocphamsaomai.com/images/product/2021/08/00028627-emanera-40mg-krka-4x7-8652-6128_large.png
24,FLEXID,2333.94,"https://static.wixstatic.com/media/da732b_e52d3694de544fe789c734bb9dec2316~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg"
25,FLUNISAN,80.48,https://eudrugstore.com/media/catalog/product/cache/101/small_image/380x319/7bc5f5f37e420515bef5d24a57144c54/d/l/dlszzdkwwaetpxh.jpg
26,FOLNA KISELINA,33.3,https://jugofarm.com/wp-content/uploads/2017/07/Folna-kiselina-400-galenika.jpg
27,GELASPAN,548.02,https://surgimart.in/wp-content/uploads/2020/07/encore-latex-micro-inner-box-horizontal-6-500x480.png
28,GENOTROPIN,71893.94,https://2getmass.to/wp-content/uploads/2019/08/Genotropin-Somatropin-12mg-pre-filled-pen-Pfizer-480x480.jpeg
29,GYNO-DAKTARIN,408.48,https://www.doctor-4-u.co.uk/media/catalog/product//g/y/gyno-daktarin-cream-78g-front_1.png
30,HELEX,328,https://aliviofarmacia.com/wp-content/uploads/2019/08/helex-tablets-30x0.25mg.jpg
31,IBUPROFEN ALKALOID,328,https://alkaloid.com.mk/strapi/uploads/small_BLOKMAX_DUO_f_o_tbl_200_500mgx10_MK_6defc67fc2.png
32,IMUPRIN,233.85,https://kiwi.mk/wp-content/uploads/product_images/le-4373.jpg
33,INSUFOR,115.14,https://lh3.googleusercontent.com/proxy/xequCZD95TSOIr0Xc_wdX4BWXsNydcYT1kNVuFdmXRHaLqxnDbnMjFL9R0vg66RAw4X9bE10u8FyrJSglzZ8uXQYMyESehtAuu4NmQsSMyWF22x1V7Ex5P0RiXv3FvBoU3phNrO5Wv4Eg2Az
34,IRACOR,289.19,https://www.krka.biz/media/products/ba/rx/listthumb/2016/Enap-tbl-30x10-mg-ZL-BIH-N.jpg
35,ISPIROL,841.31,https://d2qjkwm11akmwu.cloudfront.net/products/862502_31-7-2019_9-51-44.jpg
36,KALCIUM KARBONAT,174.93,https://replek.com.mk/wp-content/uploads/2019/10/Kalcium_Karbonat_1g-600x450-600x450.jpg
37,KETOCONAZOLE ALKALOID,209,https://cdn.shopify.com/s/files/1/0400/3414/0312/products/image_67691566-887e-4b2c-880f-4658789d329b_530x@2x.jpg?v=1595554284
